"Device: USB-231"
"Serial Number: 219F0E1"
"Channel Count: 5"
"Sample Count: 17220"
"Start Time: 1/25/2024 12:37:30.522 PM"
"Scan Rate: 1000"
"Sample","Date/Time","Torque (V)","Temp1 (V)","CH2H Volt (V)","CH3H Current (V)","Temp2 (V)"
"281","1/25/2024 12:37:30.803 PM","-0.156","3.008","1.450","1.099","2.985"
"282","1/25/2024 12:37:30.804 PM","-0.160","3.006","1.453","1.097","2.985"
"283","1/25/2024 12:37:30.805 PM","-0.167","3.011","1.451","1.098","2.989"
"284","1/25/2024 12:37:30.806 PM","-0.168","3.009","1.453","1.098","2.986"
"285","1/25/2024 12:37:30.807 PM","-0.168","3.010","1.452","1.096","2.987"
"286","1/25/2024 12:37:30.808 PM","-0.167","3.011","1.449","1.098","2.987"
"287","1/25/2024 12:37:30.809 PM","-0.169","3.008","1.453","1.099","2.988"
"288","1/25/2024 12:37:30.810 PM","-0.162","3.009","1.449","1.098","2.991"
"289","1/25/2024 12:37:30.811 PM","-0.160","3.010","1.450","1.100","2.985"
"290","1/25/2024 12:37:30.812 PM","-0.179","2.996","1.452","1.102","2.987"
"291","1/25/2024 12:37:30.813 PM","-0.156","3.010","1.449","1.100","2.983"
"292","1/25/2024 12:37:30.814 PM","-0.158","3.013","1.455","1.100","2.988"
"293","1/25/2024 12:37:30.815 PM","-0.154","3.013","1.451","1.098","2.992"
"294","1/25/2024 12:37:30.816 PM","-0.173","3.016","1.450","1.097","2.986"
"295","1/25/2024 12:37:30.817 PM","-0.157","3.006","1.452","1.098","2.986"
"296","1/25/2024 12:37:30.818 PM","-0.161","3.004","1.449","1.098","2.987"
"297","1/25/2024 12:37:30.819 PM","-0.152","3.007","1.453","1.098","2.985"
"298","1/25/2024 12:37:30.820 PM","-0.159","3.007","1.450","1.099","2.987"
"299","1/25/2024 12:37:30.821 PM","-0.150","3.005","1.453","1.097","2.987"
"300","1/25/2024 12:37:30.822 PM","-0.161","3.010","1.453","1.098","2.988"
"301","1/25/2024 12:37:30.823 PM","-0.164","3.009","1.450","1.098","2.987"
"302","1/25/2024 12:37:30.824 PM","-0.158","3.012","1.455","1.100","2.985"
"303","1/25/2024 12:37:30.825 PM","-0.161","3.010","1.449","1.098","2.987"
"304","1/25/2024 12:37:30.826 PM","-0.154","3.011","1.453","1.099","2.987"
"305","1/25/2024 12:37:30.827 PM","-0.166","3.010","1.453","1.097","2.987"
